2025/06/02 00:00:00 (UTC-4), INFO,【开始回测】dca-free策略已开始回测。
2025/06/02 00:00:00 (UTC-4), INFO,内容： 交易标的: Contract(US.SPY)。
2025/06/02 00:00:00 (UTC-4), INFO,内容： 技术指标注册完成。
2025/06/02 00:00:00 (UTC-4), INFO,内容：⚙️ 参数配置完成。
2025/06/02 00:00:00 (UTC-4), INFO,内容：
============================================================。
2025/06/02 00:00:00 (UTC-4), INFO,内容： 免费基础版 v2.0.1-Free。
2025/06/02 00:00:00 (UTC-4), INFO,内容：============================================================。
2025/06/02 00:00:00 (UTC-4), INFO,内容： 免费基础定投策略 - 解决Moomoo定投痛点
✅ 固定周期智能定投
✅ 3层回撤加仓保护 (5%/10%/20%)
✅ 完善风险控制系统
✅ 预设参数模板，一键启用
 升级付费版可获得8层回撤+成本定投算法。
2025/06/02 00:00:00 (UTC-4), INFO,内容：
 当前配置:。
2025/06/02 00:00:00 (UTC-4), INFO,内容：   模板: 平衡型 (中等风险收益，适合大多数用户)。
2025/06/02 00:00:00 (UTC-4), INFO,内容：   风险等级: 中。
2025/06/02 00:00:00 (UTC-4), INFO,内容：   定投数量: 20股。
2025/06/02 00:00:00 (UTC-4), INFO,内容：   定投周期: 1440分钟 (1天)。
2025/06/02 00:00:00 (UTC-4), INFO,内容：   回撤保护: 3层 [5.0, 10.0, 20.0]。
2025/06/02 00:00:00 (UTC-4), INFO,内容：   运行模式: 回测。
2025/06/02 00:00:00 (UTC-4), INFO,内容：
 提示: 如需8层回撤+成本定投算法，可联系作者获取付费版。
2025/06/02 00:00:00 (UTC-4), INFO,内容：============================================================
。
2025/06/02 09:30:00 (UTC-4), INFO,【订单状态】等待提交。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；订单类型：市价单；订单数量：20.0股；期限：当日有效。
2025/06/02 09:30:00 (UTC-4), INFO,【订单状态】已提交，等待成交。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；订单类型：市价单；订单数量：20.0股；期限：当日有效。
2025/06/02 09:30:00 (UTC-4), INFO,【成交状态】正常。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；成交数量：20.0股；成交价格：587.76。
2025/06/02 09:30:00 (UTC-4), INFO,【订单状态】全部成交。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；订单类型：市价单；订单数量：20.0股；期限：当日有效。
2025/06/02 09:30:00 (UTC-4), INFO,订单委托成功。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；数量：20.0股；订单类型：市价单；期限：当日有效。
2025/06/02 09:30:00 (UTC-4), INFO,内容：【订单状态】等待提交。标的：Contract(US.SPY)；交易方向：买；订单类型：市价单；订单数量：20股；期限：当日有效。。
2025/06/02 09:30:00 (UTC-4), INFO,内容：【订单状态】已提交，等待成交。标的：Contract(US.SPY)；交易方向：买；订单类型：市价单；订单数量：20股；期限：当日有效。。
2025/06/02 09:30:00 (UTC-4), INFO,内容：【成交状态】正常。标的：Contract(US.SPY)；交易方向：买；成交数量：20股；成交价格：587.76。。
2025/06/02 09:30:00 (UTC-4), INFO,内容：【订单状态】全部成交。标的：Contract(US.SPY)；交易方向：买；订单类型：市价单；订单数量：20股；期限：当日有效。。
2025/06/02 09:30:00 (UTC-4), INFO,内容：订单委托成功。标的：Contract(US.SPY)；交易方向：买；数量：20股；订单类型：市价单；期限：当日有效。。
2025/06/02 09:30:00 (UTC-4), INFO,内容：✅ [回测] 定投成功: 20股 @ $587.76, 余额=$988244.80。
2025/06/03 09:30:00 (UTC-4), INFO,【订单状态】等待提交。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；订单类型：市价单；订单数量：20.0股；期限：当日有效。
2025/06/03 09:30:00 (UTC-4), INFO,【订单状态】已提交，等待成交。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；订单类型：市价单；订单数量：20.0股；期限：当日有效。
2025/06/03 09:30:00 (UTC-4), INFO,【成交状态】正常。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；成交数量：20.0股；成交价格：592.34。
2025/06/03 09:30:00 (UTC-4), INFO,【订单状态】全部成交。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；订单类型：市价单；订单数量：20.0股；期限：当日有效。
2025/06/03 09:30:00 (UTC-4), INFO,订单委托成功。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；数量：20.0股；订单类型：市价单；期限：当日有效。
2025/06/03 09:30:00 (UTC-4), INFO,内容：【订单状态】等待提交。标的：Contract(US.SPY)；交易方向：买；订单类型：市价单；订单数量：20股；期限：当日有效。。
2025/06/03 09:30:00 (UTC-4), INFO,内容：【订单状态】已提交，等待成交。标的：Contract(US.SPY)；交易方向：买；订单类型：市价单；订单数量：20股；期限：当日有效。。
2025/06/03 09:30:00 (UTC-4), INFO,内容：【成交状态】正常。标的：Contract(US.SPY)；交易方向：买；成交数量：20股；成交价格：592.34。。
2025/06/03 09:30:00 (UTC-4), INFO,内容：【订单状态】全部成交。标的：Contract(US.SPY)；交易方向：买；订单类型：市价单；订单数量：20股；期限：当日有效。。
2025/06/03 09:30:00 (UTC-4), INFO,内容：订单委托成功。标的：Contract(US.SPY)；交易方向：买；数量：20股；订单类型：市价单；期限：当日有效。。
2025/06/03 09:30:00 (UTC-4), INFO,内容：✅ [回测] 定投成功: 20股 @ $592.34, 余额=$976398.00。
2025/06/04 09:30:00 (UTC-4), INFO,【订单状态】等待提交。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；订单类型：市价单；订单数量：20.0股；期限：当日有效。
2025/06/04 09:30:00 (UTC-4), INFO,【订单状态】已提交，等待成交。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；订单类型：市价单；订单数量：20.0股；期限：当日有效。
2025/06/04 09:30:00 (UTC-4), INFO,【成交状态】正常。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；成交数量：20.0股；成交价格：596.96。
2025/06/04 09:30:00 (UTC-4), INFO,【订单状态】全部成交。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；订单类型：市价单；订单数量：20.0股；期限：当日有效。
2025/06/04 09:30:00 (UTC-4), INFO,订单委托成功。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；数量：20.0股；订单类型：市价单；期限：当日有效。
2025/06/04 09:30:00 (UTC-4), INFO,内容：【订单状态】等待提交。标的：Contract(US.SPY)；交易方向：买；订单类型：市价单；订单数量：20股；期限：当日有效。。
2025/06/04 09:30:00 (UTC-4), INFO,内容：【订单状态】已提交，等待成交。标的：Contract(US.SPY)；交易方向：买；订单类型：市价单；订单数量：20股；期限：当日有效。。
2025/06/04 09:30:00 (UTC-4), INFO,内容：【成交状态】正常。标的：Contract(US.SPY)；交易方向：买；成交数量：20股；成交价格：596.96。。
2025/06/04 09:30:00 (UTC-4), INFO,内容：【订单状态】全部成交。标的：Contract(US.SPY)；交易方向：买；订单类型：市价单；订单数量：20股；期限：当日有效。。
2025/06/04 09:30:00 (UTC-4), INFO,内容：订单委托成功。标的：Contract(US.SPY)；交易方向：买；数量：20股；订单类型：市价单；期限：当日有效。。
2025/06/04 09:30:00 (UTC-4), INFO,内容：✅ [回测] 定投成功: 20股 @ $596.96, 余额=$964458.80。
2025/06/05 09:30:00 (UTC-4), INFO,【订单状态】等待提交。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；订单类型：市价单；订单数量：20.0股；期限：当日有效。
2025/06/05 09:30:00 (UTC-4), INFO,【订单状态】已提交，等待成交。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；订单类型：市价单；订单数量：20.0股；期限：当日有效。
2025/06/05 09:30:00 (UTC-4), INFO,【成交状态】正常。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；成交数量：20.0股；成交价格：597.63。
2025/06/05 09:30:00 (UTC-4), INFO,【订单状态】全部成交。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；订单类型：市价单；订单数量：20.0股；期限：当日有效。
2025/06/05 09:30:00 (UTC-4), INFO,订单委托成功。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；数量：20.0股；订单类型：市价单；期限：当日有效。
2025/06/05 09:30:00 (UTC-4), INFO,内容：【订单状态】等待提交。标的：Contract(US.SPY)；交易方向：买；订单类型：市价单；订单数量：20股；期限：当日有效。。
2025/06/05 09:30:00 (UTC-4), INFO,内容：【订单状态】已提交，等待成交。标的：Contract(US.SPY)；交易方向：买；订单类型：市价单；订单数量：20股；期限：当日有效。。
2025/06/05 09:30:00 (UTC-4), INFO,内容：【成交状态】正常。标的：Contract(US.SPY)；交易方向：买；成交数量：20股；成交价格：597.63。。
2025/06/05 09:30:00 (UTC-4), INFO,内容：【订单状态】全部成交。标的：Contract(US.SPY)；交易方向：买；订单类型：市价单；订单数量：20股；期限：当日有效。。
2025/06/05 09:30:00 (UTC-4), INFO,内容：订单委托成功。标的：Contract(US.SPY)；交易方向：买；数量：20股；订单类型：市价单；期限：当日有效。。
2025/06/05 09:30:00 (UTC-4), INFO,内容：✅ [回测] 定投成功: 20股 @ $597.63, 余额=$952506.20。
2025/06/06 09:30:00 (UTC-4), INFO,【订单状态】等待提交。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；订单类型：市价单；订单数量：20.0股；期限：当日有效。
2025/06/06 09:30:00 (UTC-4), INFO,【订单状态】已提交，等待成交。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；订单类型：市价单；订单数量：20.0股；期限：当日有效。
2025/06/06 09:30:00 (UTC-4), INFO,【成交状态】正常。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；成交数量：20.0股；成交价格：598.66。
2025/06/06 09:30:00 (UTC-4), INFO,【订单状态】全部成交。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；订单类型：市价单；订单数量：20.0股；期限：当日有效。
2025/06/06 09:30:00 (UTC-4), INFO,订单委托成功。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；数量：20.0股；订单类型：市价单；期限：当日有效。
2025/06/06 09:30:00 (UTC-4), INFO,内容：【订单状态】等待提交。标的：Contract(US.SPY)；交易方向：买；订单类型：市价单；订单数量：20股；期限：当日有效。。
2025/06/06 09:30:00 (UTC-4), INFO,内容：【订单状态】已提交，等待成交。标的：Contract(US.SPY)；交易方向：买；订单类型：市价单；订单数量：20股；期限：当日有效。。
2025/06/06 09:30:00 (UTC-4), INFO,内容：【成交状态】正常。标的：Contract(US.SPY)；交易方向：买；成交数量：20股；成交价格：598.66。。
2025/06/06 09:30:00 (UTC-4), INFO,内容：【订单状态】全部成交。标的：Contract(US.SPY)；交易方向：买；订单类型：市价单；订单数量：20股；期限：当日有效。。
2025/06/06 09:30:00 (UTC-4), INFO,内容：订单委托成功。标的：Contract(US.SPY)；交易方向：买；数量：20股；订单类型：市价单；期限：当日有效。。
2025/06/06 09:30:00 (UTC-4), INFO,内容：✅ [回测] 定投成功: 20股 @ $598.66, 余额=$940533.00。
2025/06/06 23:59:59 (UTC-4), INFO,【停止回测】回测已被停止。
